PortNumber,AccNumber,LocNumber,BuildingID,CountryCode,Latitude,Longitude,StreetAddress,AreaCode,OccupancyCode,ConstructionCode,YearBuilt,NumberOfStoreys,LocPerilsCovered,BuildingTIV,OtherTIV,ContentsTIV,BITIV,LocCurrency,LocDed6All,LocLimit6All,LocPeril,LocDedType6All,LocLimitType6All,LocGroup,OEDVersion
IDJB01,ACC001,ACC001-L001,1,ID,-6.15775,106.81228,203 Jalan Jakarta Pusat,31,1050,5050,2021,2,QEQ,248752.51,26684.05,79555.62,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L002,1,ID,-6.23057,106.86856,139 Jalan Jakarta Timur,31,1050,5100,2016,2,QEQ,448029.64,11233.51,165222.93,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L003,1,ID,-6.23107,107.16551,104 Jalan Cikarang,32,1050,5100,2003,3,QEQ,276576.87,4682.25,110074.87,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L004,1,ID,-6.80538,107.15745,135 Jalan Cianjur,32,1050,5050,1985,2,QEQ,489231.89,18338.72,134419.89,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L005,1,ID,-6.93732,107.62113,90 Jalan Bandung,32,1050,5100,2003,2,QEQ,510107.07,44083.71,217012.36,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L006,1,ID,-6.15581,106.85955,136 Jalan Jakarta Pusat,31,1050,5100,2021,3,QEQ,526730.19,53621.87,183989.34,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L007,1,ID,-6.2421,106.92714,113 Jalan Jakarta Timur,31,1050,5050,2021,2,QEQ,832213.02,95840.41,389840.74,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L008,1,ID,-6.27226,107.1829,176 Jalan Cikarang,32,1050,5100,2021,2,QEQ,535024.58,22507.52,231272.32,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L009,1,ID,-6.84603,107.12928,40 Jalan Cianjur,32,1050,5100,2011,3,QEQ,182213.43,15728.35,88419.87,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L010,1,ID,-6.94774,107.6043,66 Jalan Bandung,32,1050,5050,2011,2,QEQ,828392.22,81765.48,389351.46,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
